"isqno","atp_number","start_time_min","start_time_max","end_time_min","end_time_max","duration_max","duration_min","duration_only"
77,1,1759-09-13 10:00:00,1759-09-13 10:00:00,1759-09-13 10:15:00,1759-09-13 10:15:00,15,15,FALSE
78,1,1759-11-20 11:00:00,1759-11-20 11:00:00,1759-11-20 17:30:00,1759-11-20 17:30:00,390,390,FALSE
79,1,1760-07-31 00:00:00,1760-08-01 00:00:00,1760-07-31 00:00:00,1760-08-01 00:00:00,1440,0,FALSE
80,1,1760-08-15 05:00:00,1760-08-15 05:00:00,1760-08-15 07:00:00,1760-08-15 07:00:00,120,120,FALSE
81,1,1760-11-03 14:00:00,1760-11-03 14:00:00,1760-11-03 22:00:00,1760-11-03 22:00:00,480,480,FALSE
82,1,1775-06-17 15:00:00,1775-06-17 15:00:00,1775-06-17 19:00:00,1775-06-17 19:00:00,240,240,FALSE
83,1,1776-01-01 04:00:00,1776-01-01 04:00:00,1776-01-01 09:00:00,1776-01-01 09:00:00,300,300,FALSE
84,1,1776-10-28 08:00:00,1776-10-28 08:00:00,1776-10-28 17:00:00,1776-10-28 17:00:00,540,540,FALSE
85,1,1776-12-26 08:00:00,1776-12-26 08:00:00,1776-12-26 09:30:00,1776-12-26 09:30:00,90,90,FALSE
86,1,1777-01-03 08:00:00,1777-01-03 08:00:00,1777-01-03 08:15:00,1777-01-03 08:15:00,15,15,FALSE
87,1,1777-09-19 12:45:00,1777-09-19 12:45:00,1777-09-19 19:15:00,1777-09-19 19:15:00,390,390,FALSE
88,1,1777-10-04 06:00:00,1777-10-04 06:00:00,1777-10-04 10:00:00,1777-10-04 10:00:00,240,240,FALSE
89,1,1777-10-07 14:30:00,1777-10-07 14:30:00,1777-10-07 15:22:00,1777-10-07 15:22:00,52,52,FALSE
90,1,1778-06-28 10:00:00,1778-06-28 10:00:00,1778-06-28 17:00:00,1778-06-28 17:00:00,420,420,FALSE
91,1,1780-08-16 02:00:00,1780-08-16 02:00:00,1780-08-16 02:20:00,1780-08-16 02:20:00,20,20,FALSE
91,2,1780-08-16 04:30:00,1780-08-16 04:30:00,1780-08-16 13:00:00,1780-08-16 13:00:00,510,510,FALSE
92,1,1781-01-17 07:00:00,1781-01-17 07:00:00,1781-01-17 08:00:00,1781-01-17 08:00:00,60,60,FALSE
93,1,1781-03-15 13:30:00,1781-03-15 13:30:00,1781-03-15 15:30:00,1781-03-15 15:30:00,120,120,FALSE
94,1,1781-04-25 10:00:00,1781-04-25 10:00:00,1781-04-25 16:00:00,1781-04-25 16:00:00,360,360,FALSE
95,1,1781-09-08 09:05:00,1781-09-08 09:05:00,1781-09-08 13:00:00,1781-09-08 13:00:00,235,235,FALSE
96,1,1792-09-20 12:10:00,1792-09-20 12:10:00,1792-09-20 17:00:00,1792-09-20 17:00:00,290,290,FALSE
97,1,1792-11-06 00:00:00,1792-11-07 00:00:00,1792-11-06 00:00:00,1792-11-07 00:00:00,1440,0,FALSE
98,1,1793-03-18 00:00:00,1793-03-19 00:00:00,1793-03-18 00:00:00,1793-03-19 00:00:00,1440,0,FALSE
99,1,1793-09-06 00:00:00,1793-09-07 00:00:00,1793-09-06 00:00:00,1793-09-07 00:00:00,1440,0,FALSE
100,1,1793-10-15 00:00:00,1793-10-16 00:00:00,1793-10-16 00:00:00,1793-10-17 00:00:00,2880,0,FALSE
101,1,1794-06-26 04:00:00,1794-06-26 04:00:00,1794-06-26 10:00:00,1794-06-26 10:00:00,360,360,FALSE
102,1,1796-05-10 18:30:00,1796-05-10 18:30:00,1796-05-10 20:00:00,1796-05-10 20:00:00,90,90,FALSE
103,1,1796-08-05 00:00:00,1796-08-06 00:00:00,1796-08-05 00:00:00,1796-08-06 00:00:00,1440,0,FALSE
104,1,1796-08-11 00:00:00,1796-08-12 00:00:00,1796-08-11 00:00:00,1796-08-12 00:00:00,1440,0,FALSE
105,1,1796-09-03 09:00:00,1796-09-03 09:00:00,1796-09-03 19:20:00,1796-09-03 19:20:00,620,620,FALSE
106,1,1796-11-15 00:00:00,1796-11-16 00:00:00,1796-11-17 00:00:00,1796-11-18 00:00:00,4320,1440,FALSE
107,1,1797-01-14 00:00:00,1797-01-15 00:00:00,1797-01-15 00:00:00,1797-01-16 00:00:00,2880,0,FALSE
108,1,1798-07-21 15:30:00,1798-07-21 15:30:00,1798-07-21 16:30:00,1798-07-21 16:30:00,60,60,FALSE
109,1,1799-03-25 05:00:00,1799-03-25 05:00:00,1799-03-25 20:00:00,1799-03-25 20:00:00,900,900,FALSE
110,1,1799-04-16 06:30:00,1799-04-16 06:30:00,1799-04-16 16:30:00,1799-04-16 16:30:00,600,600,FALSE
111,1,1799-06-04 00:00:00,1799-06-05 00:00:00,1799-06-04 00:00:00,1799-06-05 00:00:00,1440,0,FALSE
112,1,1799-08-15 03:00:00,1799-08-15 03:00:00,1799-08-15 13:00:00,1799-08-15 13:00:00,600,600,FALSE
112,2,1799-08-15 16:00:00,1799-08-15 16:00:00,1799-08-15 20:00:00,1799-08-15 20:00:00,240,240,FALSE
113,1,1799-09-24 00:00:00,1799-09-25 00:00:00,1799-09-25 00:00:00,1799-09-26 00:00:00,2880,0,FALSE
114,1,1800-05-05 00:00:00,1800-05-06 00:00:00,1800-05-05 00:00:00,1800-05-06 00:00:00,1440,0,FALSE
115,1,1800-06-14 09:00:00,1800-06-14 09:00:00,1800-06-14 12:00:00,1800-06-14 12:00:00,180,180,FALSE
