"ISQNO","WAR","NAME","LOCN","CAMPGN","NAMA","COA","NAMD","COD","WOFA1","WOFD1","YR1","MO1","DA1","HR1","WOFA2","WOFD2","YR2","MO2","DA2","HR2","WOFA3","WOFD3","YR3","MO3","DA3","HR3","POSTYPE","POST1","POST2","FRONT","DEPTH","TIME","TERRA1","TERRA2","WX1","WX2","WX3","SURPA","AEROA","STRA","CODEA","INTSTA","RERPA","CASA","FINSTA","STRD","CODED","INTSTD","RERPD","CASD","FINSTD","CAVA","TANKA","LTA","MBTA","ARTYA","FLYA","CTANKA","CARTYA","CFLYA","CAVD","TANKD","LTD","MBTD","ARTYD","FLYD","CTANKD","CARTYD","CFLYD","CEA","LEADA","TRNGA","MORALA","LOGSA","MOMNTA","INTELA","TECHA","INITA","WINA","KMDA","ACHA","ACHD","CRIT","QUALA","RESA","MOBILA","AIRA","FPREPA","WXA","TERRA","LEADAA","PLANA","SURPAA","MANA","LOGSAA","FORTSA","DEEPA","PRIA1","PRIA2","PRIA3","SECA1","SECA2","SECA3","RESOA1","RESOA2","RESOA3","PRID1","PRID2","PRID3","SECD1","SECD2","SECD3","RESOD1","RESOD2","RESOD3","STRAPL","STRAMI","CASAPL","CASAMI","STRDPL","STRDMI","CASDPL","CASDMI","NOATP","ATPBYR1","ATPBMN1","ATPBDA1","ATPBHR1","ATPEYR1","ATPEMN1","ATPEDA1","ATPEHR1","ATPBYR2","ATPBMN2","ATPBDA2","ATPBHR2","ATPEYR2","ATPEMN2","ATPEDA2","ATPEHR2","ATPBYR3","ATPBMN3","ATPBDA3","ATPBHR3","ATPEYR3","ATPEMN3","ATPEDA3","ATPEHR3","ATPBYR4","ATPBMN4","ATPBDA4","ATPBHR4","ATPEYR4","ATPEMN4","ATPEDA4","ATPEHR4","ATPBYR5","ATPBMN5","ATPBDA5","ATPBHR5","ATPEYR5","ATPEMN5","ATPEDA5","ATPEHR5","ATPBYR6","ATPBMN6","ATPBDA6","ATPBHR6","ATPEYR6","ATPEMN6","ATPEDA6","ATPEHR6","ATPBYR7","ATPBMN7","ATPBDA7","ATPBHR7","ATPEYR7","ATPEMN7","ATPEDA7","ATPEHR7","ATPBYR8","ATPBMN8","ATPBDA8","ATPBHR8","ATPEYR8","ATPEMN8","ATPEDA8","ATPEHR8","ATPBYR9","ATPBMN9","ATPBDA9","ATPBHR9","ATPEYR9","ATPEMN9","ATPEDA9","ATPEHR9","ATPBYR10","ATPBMN10","ATPBDA10","ATPBHR10","ATPEYR10","ATPEMN10","ATPEDA10","ATPEHR10","INSTA","INSTD","CAMPAGN"
362,"WORLD WAR I (WESTERN FRONT 1918)","PICARDY 1918, I","FRANCE","AMIENS OFFENSIVE","BR 1ST, 3RD, 4TH ARMIES","FM HAIG","GER 2ND & 18TH ARMIES","CR PR RUPPRECHT",70,70,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"FD","OO",0,0,0,"RM0","000","WLTST","00000","00000",2,1,"225000",1,"-1",-1,"10000","-1","170000",1,"-1",-1,"30000","-1",0,462,96,366,2000,-1,-1,-1,-1,0,-1,-1,-1,1500,-1,-1,400,-1,0,0,0,2,0,1,1,1,1,1,18,9,3,1,1,1,1,1,0,0,0,0,1,1,0,0,-1,-1,"FF","00","00","00","00","00","BB","00","00","DD","00","00","00","00",0,"WL","00","00",15,-15,15,-15,15,-15,15,-15,1,1918,8,8,9999,1918,8,11,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000,170000,
363,"WORLD WAR I (WESTERN FRONT 1918)","PICARDY 1918, II","FRANCE","AMIENS OFFENSIVE","BR 1ST ARMY(+) & FR 1ST ARMY(+)","FM HAIG","GER 2ND, 9TH & 17TH ARMIES(+)","CR PR RUPPRECHT",150,150,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"FD","OO",0,0,0,"RM0","000","DSTST","00000","00000",0,1,"300000",1,"-1",-1,"35000","-1","200000",1,"-1",-1,"80000","-1",0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,100,-1,0,0,0,2,0,1,0,1,1,1,61.5,9,5,1,1,1,1,1,0,0,0,0,1,0,0,0,-1,-1,"FF","00","00","00","00","00","PP","00","00","DD","00","00","00","00",0,"WD","00","00",15,-15,15,-15,15,-15,15,-15,1,1918,8,21,9999,1918,9,4,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000,200000,
364,"WORLD WAR I (WESTERN FRONT 1918)","ST. MIHIEL","FRANCE","ST. MIHIEL","US 1ST ARMY","GEN PERSHING","GER ARMY DET C","GEN FUCHS",72,72,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,1,"FD","DL",1,0,1,"RM0","000","WOTFT","00000","00000",0,1,"400000",3,"-1",-1,"7000","393000","100000",3,"-1",-1,"20000","80000",0,267,267,0,3010,800,-1,-1,-1,0,0,0,0,1000,-1,-1,-1,-1,0,0,-1,1,0,0,0,0,1,1,22.5,8,5,1,0,1,1,1,1,0,0,0,1,0,0,0,-1,-1,"EE","LF","00","EE","RF","FE","PP","PS","00","DD","00","00","00","00",0,"WL","00","00",25,-20,10,-10,25,0,20,0,1,1918,9,12,9999,1918,9,15,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,"WORLD WAR I (WESTERN FRONT 1918)","LAHAYVILLE-BOIS DE LAMARCHE","FRANCE","ST. MIHIEL","US 2ND INF BDE(+)","BG BAMFORD","GER 47TH INF RGT(-)","CPT GERLACH",1.2,1.2,1918,9,12,9999,2,2,1918,9,12,9999,-1,-1,9999,99,99,9999,2,"FD","DL",0,0,0,"RM0","RW0","WHTFT","00000","00000",1,1,"13208",1,"13208",0,"185","13023","2090",1,"2090",0,"1076","1014",0,0,0,0,76,-1,0,-1,-1,0,0,0,0,10,-1,0,-1,-1,0,0,-1,1,0,0,0,0,1,1,8.5,8,2,1,0,1,1,1,1,0,0,0,1,1,1,0,-1,-1,"FF","00","00","00","00","00","BB","PS","00","DD","00","00","00","00",0,"WL","00","00",10,-10,10,-10,15,-15,15,-15,1,1918,9,12,500,1918,9,12,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,"WORLD WAR I (WESTERN FRONT 1918)","MEUSE-ARGONNE I","FRANCE","MEUSE-ARGONNE","US 1ST ARMY(+)","GEN PERSHING","GER 3RD ARMY(+)","GEN EINEM",53,53,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"FD","OO",0,0,0,"GW0","RM0","DOTFT","WLTFT","00000",1,1,"300000",1,"300000",-1,"22128","-1","190000",1,"190000",-1,"21448","-1",0,189,189,0,2700,821,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,200,-1,0,0,-1,1,0,0,0,0,1,1,15.2,7,4,1,-1,1,1,1,0,0,-1,0,0,1,0,0,-1,-1,"FF","00","00","00","00","00","PP","SS","00","DD","00","00","00","00",0,"SS","00","00",25,-25,20,-20,25,-25,20,-20,1,1918,9,26,9999,1918,10,3,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,"WORLD WAR I (WESTERN FRONT 1918)","BLANC MONT I","FRANCE","MEUSE-ARGONNE (CHAMPAGNE)","US 2ND DIV(+)","MG LEJEUNE","GER 12TH SAXON ARMY CORPS(-)","GEN NIDDA",6.4,6.4,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"FD","OO",0,0,0,"RM0","000","DSTFT","00000","00000",0,1,"26000",3,"-1",-1,"4700","21300","13000",3,"-1",-1,"4000","9000",0,72,72,0,192,-1,-1,-1,-1,0,0,0,0,202,-1,0,25,-1,0,0,-1,1,0,0,0,0,1,1,5.2,6,5,2,0,1,1,1,0,0,0,0,1,0,0,0,-1,-1,"FF","00","00","00","00","00","PP","SS","00","DO","EE","RF","00","00",0,"RR","WD","00",5,-5,5,-5,15,-15,15,-15,1,1918,10,3,9999,1918,10,6,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,"WORLD WAR I (WESTERN FRONT 1918)","MEDEAH FARM","FRANCE","MEUSE-ARGONNE (CHAMPAGNE)","US 2/9TH INF RGT","LCOL ARNOLD","GER 1/235TH RES INF RGT","MAJ DOERSTLING",0.6,0.6,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"FD","OO",0,0,0,"RM0","000","DSTFT","00000","00000",0,1,"1921",1,"1921",0,"247","1674","155",1,"155",0,"83","72",0,3,3,0,12,-1,0,0,-1,0,0,0,0,50,-1,0,3,-1,0,0,-1,1,0,0,0,0,1,1,3.1,8,2,1,0,1,1,1,1,0,0,0,0,0,1,0,-1,-1,"FF","00","00","00","00","00","PP","00","00","DD","00","00","00","00",0,"WL","00","00",10,-10,10,-10,15,-15,15,-15,1,1918,10,3,550,1918,10,3,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,"WORLD WAR I (WESTERN FRONT 1918)","ESSEN HOOK","FRANCE","MEUSE-ARGONNE (CHAMPAGNE)","US 1/5TH MAR RGT(-)","COL HUNT","GER 2ND CO, 2ND COLOGNE LANDSTURM BN","MAJ WEBENDOERFER",0.8,0.8,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"FD","OO",0,0,0,"RM0","000","DSTFT","00000","00000",2,1,"1420",1,"1420",0,"140","1280","216",1,"216",0,"120","96",0,3,3,0,17,-1,0,0,-1,0,0,0,0,8,-1,0,8,-1,0,0,-1,1,0,0,0,0,1,1,0.1,8,4,1,0,0,0,0,1,0,0,0,0,1,0,0,-1,-1,"EE","LF","00","00","00","00","BB","00","00","DD","00","00","00","00",0,"WL","00","00",10,-10,10,-10,15,-15,15,-15,1,1918,10,3,9999,1918,10,3,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,"WORLD WAR I (WESTERN FRONT 1918)","BLANC MONT RIDGE","FRANCE","MEUSE-ARGONNE (CHAMPAGNE)","US 2/6TH MAR RGT","COL LEE","GER 2/149TH INF RGT(+)","MAJ GRUNDELL",1.3,1.3,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"FD","OO",0,0,0,"RM0","000","DSTFT","00000","00000",2,1,"1400",1,"1400",0,"308","1092","458",1,"458",0,"241","217",0,12,12,0,96,-1,0,0,-1,0,0,0,0,20,-1,0,2,-1,0,0,-1,1,0,0,0,0,1,1,3,7,3,1,0,1,0,0,1,0,0,0,0,1,1,0,-1,-1,"FF","00","00","00","00","00","PP","00","00","DD","00","00","00","00",0,"WL","00","00",10,-10,0,-25,15,-15,15,-15,1,1918,10,3,550,1918,10,3,930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,"WORLD WAR I (WESTERN FRONT 1918)","SOMMEPY WOOD","FRANCE","MEUSE-ARGONNE (CHAMPAGNE)","US 4TH MAR BDE(-)",,"GER 2/235TH RES INF RGT","MAJ DOERSTLING",1.5,1.5,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"FD","OO",0,0,0,"RW0","000","DSTFT","00000","00000",2,1,"9230",1,"9230",0,"620","8610","670",1,"670",0,"450","220",0,24,24,0,96,-1,0,-1,-1,0,0,0,0,28,-1,0,4,-1,0,0,-1,1,0,0,0,0,1,1,3,8,2,1,0,1,1,1,1,0,-1,0,1,1,1,0,-1,-1,"FF","00","00","00","00","00","PP","00","00","DD","00","00","00","00",0,"WL","00","00",10,-10,10,-10,15,-15,15,-15,1,1918,10,3,550,1918,10,3,930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,"WORLD WAR I (WESTERN FRONT 1918)","BLANC MONT II","FRANCE","MEUSE-ARGONNE (CHAMPAGNE)","US 36TH DIV(-)(+)","MG SMITH","GER 213TH INF DIV","MG HAMMERSTEIN",4,4,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"FD","OO",0,0,0,"RM0","000","DSTFT","00000","00000",0,1,"18000",1,"18000",0,"1589","16411","10000",1,"10000",0,"500","9500",0,-1,-1,-1,144,-1,-1,-1,-1,0,0,0,0,177,-1,0,-1,-1,0,0,-1,1,0,0,0,0,1,0,0.3,6,6,2,-1,1,1,1,0,0,0,0,0,0,0,0,-1,-1,"FF","00","00","00","00","00","RR","SS","00","DO","00","00","00","00",0,"SS","00","00",0,-20,0,-12,0,-20,25,-25,1,1918,10,8,9999,1918,10,8,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,"WORLD WAR I (WESTERN FRONT 1918)","MEUSE-ARGONNE II","FRANCE","MEUSE-ARGONNE PHASE II","FR 4TH ARMY(+)","GEN FOCH","GER 3RD ARMY(+)","GEN LUDENDORFF",104,104,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"FD","OO",0,0,0,"RM0","GW0","DOTFT","WLTFT","00000",0,1,"500000",1,"500000",-1,"77448","-1","300000",1,"300000",-1,"75068","-1",0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,700,-1,0,0,-1,2,0,0,0,0,1,1,16.8,7,5,2,0,1,1,1,0,0,-1,0,0,0,0,0,-1,-1,"FF","00","00","00","00","00","PP","SS","00","DO","FF","00","00","00",0,"WD","SS","00",25,-25,20,-20,25,-25,20,-20,1,1918,10,4,9999,1918,10,31,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,"WORLD WAR I (WESTERN FRONT 1918)","EXERMONT-MONTREFAGNE","FRANCE","MEUSE-ARGONNE PHASE II","US 18TH INF RGT","COL HUNT","GER 3RD GUARDS FT RGT(+)","COL SCHONSTADT",0.9,0.9,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"FD","OO",0,0,0,"RM0","GM0","DOTFT","WLTFT","00000",0,1,"5336",1,"5336",0,"352","4984","3245",1,"3245",0,"192","3053",0,11,11,0,36,-1,-1,-1,-1,0,0,0,0,35,-1,0,-1,-1,0,0,-1,2,0,0,0,0,1,0,2.1,5,5,2,-1,1,1,0,0,0,-1,0,0,0,0,0,-1,-1,"FF","00","00","00","00","00","PP","RR","SS","DO","FF","00","00","00",0,"PP","SS","00",10,-10,10,-10,15,-15,15,-15,2,1918,10,4,530,1918,10,4,700,1918,10,4,1730,1918,10,4,1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,"WORLD WAR I (WESTERN FRONT 1918)","MAYACHE RAVINE","FRANCE","MEUSE-ARGONNE PHASE II","US 26TH INF RGT(+)","COL ERICKSON","GER 2ND BN, 170TH INF RGT(+)","CPT KAESBACH",1,1,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"FD","OO",0,0,0,"RM0","GM0","DOTFT","WLTFT","00000",0,1,"5427",1,"5427",0,"376","5051","1899",1,"1899",0,"114","1785",0,13,13,0,36,-1,13,-1,-1,0,0,0,0,18,-1,0,-1,-1,0,0,-1,2,0,0,0,0,1,0,1.3,5,5,2,-1,0,1,0,0,0,-1,0,0,0,0,0,-1,-1,"FF","00","00","00","00","00","PP","SS","00","DD","00","00","00","00",0,"SS","00","00",10,-10,10,-10,15,-15,15,-15,1,1918,10,4,530,1918,10,4,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,"WORLD WAR I (WESTERN FRONT 1918)","LA NEUVILLE LE COMTE FERME","FRANCE","MEUSE-ARGONNE PHASE II","US 28TH INF RGT(+)","COL BARNHARDT","GER 1/111TH INF RGT(+)","CPT GACKENHOLZ",1,1,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"FD","OO",0,0,0,"RM0","GM0","DOTFT","WLTFT","00000",0,1,"5365",1,"5365",0,"340","5025","1940",1,"1940",0,"61","1879",0,13,13,0,36,-1,-1,-1,-1,0,0,0,0,20,-1,0,-1,-1,0,0,-1,2,0,0,0,0,1,1,1.6,6,5,2,-1,0,1,0,0,0,-1,0,0,0,0,0,-1,-1,"FF","00","00","00","00","00","PP","SS","00","DD","00","00","00","00",0,"SS","00","00",10,-10,10,-10,15,-15,15,-15,1,1918,10,4,9999,1918,10,4,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,"WORLD WAR I (WESTERN FRONT 1918)","FERME DES GRANGES-FLEVILLE","FRANCE","MEUSE-ARGONNE PHASE II","US 16TH INF RGT(+)","LCOL COPPOCK","GER 3RD GUARDS GREN RGT(+)","MAJ PLEHWE",1,1,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"FD","OO",0,0,0,"RM0","GM0","DOTFT","WLTFT","00000",0,1,"5461",1,"5461",0,"242","5219","2587",3,"-1",-1,"250","2337",0,10,10,0,36,-1,-1,-1,-1,0,0,0,0,33,-1,-1,-1,-1,0,0,-1,2,0,0,0,0,1,1,4,7,4,1,-1,1,1,0,0,0,-1,0,0,0,0,0,-1,-1,"FF","00","00","00","00","00","PP","00","00","DD","00","00","00","00",0,"WD","00","00",10,-10,10,-10,15,-15,15,-15,1,1918,10,4,530,1918,10,4,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,"WORLD WAR I (WESTERN FRONT 1918)","HILL 212","FRANCE","MEUSE-ARGONNE PHASE II","US 26TH INF RGT(+)","COL ERICKSON","GER 170TH INF RGT(+)","LCOL IHLENFELD",0.8,0.8,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"FD","OO",0,0,0,"RM0","GM0","DOTFT","DSTFT","00000",0,1,"5022",1,"5022",0,"301","4721","3335",1,"3335",0,"173","3162",0,3,3,0,32,-1,-1,-1,-1,0,0,0,0,36,-1,0,-1,-1,0,0,-1,2,0,0,0,0,1,1,2.5,6,5,2,-1,1,1,0,0,0,-1,0,0,0,0,0,-1,-1,"FF","00","00","00","00","00","PP","00","00","DD","00","00","00","00",0,"WD","00","00",10,-10,10,-10,15,-15,15,-15,1,1918,10,5,630,1918,10,5,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,"WORLD WAR I (WESTERN FRONT 1918)","BOIS DE BOYON-MONTREFAGNE","FRANCE","MEUSE-ARGONNE PHASE II","US 18TH INF RGT(+)","COL HUNT","GER 150TH INF RGT(-)(+)","MAJ BRUNS",0.9,0.9,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"FD","OO",0,0,0,"RM0","GM0","DOTFT","DSTFT","00000",0,1,"4778",1,"4778",0,"132","4646","2925",1,"2925",0,"126","2799",0,0,0,0,32,-1,0,-1,-1,0,0,0,0,22,-1,0,-1,-1,0,0,-1,2,0,0,0,0,1,1,1.3,6,5,2,-1,1,1,0,0,0,-1,0,0,0,0,0,-1,-1,"FF","EE","RF","00","00","00","PP","RR","SS","DD","00","00","00","00",0,"WD","SS","00",10,-10,10,-10,15,-15,15,-15,1,1918,10,5,9999,1918,10,5,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,"WORLD WAR I (WESTERN FRONT 1918)","HILL 272","FRANCE","MEUSE-ARGONNE PHASE II","US 1/16TH INF RGT(+)","MAJ RYDER","GER 147TH INF RGT(+)","MAJ KRAUSE",0.9,0.9,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"FD","OO",0,0,0,"RM0","GM0","DOTFT","00000","00000",0,1,"2950",1,"2950",0,"109","2841","2563",1,"2563",0,"250","2313",0,0,0,0,32,-1,0,-1,-1,0,0,0,0,31,-1,0,-1,-1,0,0,-1,2,0,0,0,0,1,1,0.8,7,4,1,-1,1,1,0,0,0,-1,0,0,0,0,0,-1,-1,"FF","DE","00","00","00","00","PP","00","00","DO","FF","00","00","00",0,"RR","WD","00",10,-10,10,-10,15,-15,15,-15,1,1918,10,9,830,1918,10,9,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,"WORLD WAR I (WESTERN FRONT 1918)","MEUSE-ARGONNE III","FRANCE","MEUSE-ARGONNE PHASE III","FR 4TH ARMY(+)","GEN PERSHING","GER 3RD ARMY(+)","GEN GALLWITZ",169,169,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,2,"PD","DL",0,0,0,"RM0","000","DOTFT","WHTFT","00000",0,1,"600000",1,"600000",-1,"30426","-1","380140",1,"380140",-1,"29491","-1",0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,275,-1,0,0,-1,2,0,0,0,0,1,1,16.5,6,4,1,-1,1,1,1,0,0,-1,0,0,0,0,0,-1,-1,"FF","00","00","00","00","00","PP","00","00","DD","00","00","00","00",0,"WD","00","00",25,-25,20,-20,25,-25,20,-20,1,1918,11,1,9999,1918,11,11,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,"WORLD WAR I (WESTERN FRONT 1918)","REMILLY-AILLICOURT","FRANCE","MEUSE-ARGONNE PHASE III","US 1/16TH INF RGT","MAJ RYDER","GER 6TH RES JAEGER BN(+)","LG LEWINSKI",0.5,0.5,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,2,"PD","DL",0,0,0,"RM0","000","WHTFT","00000","00000",0,1,"1210",1,"1210",0,"25","1185","296",1,"296",0,"30","266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,1,0,0,1,1,1,8,4,1,-1,1,1,0,1,-1,-1,0,0,0,0,0,-1,-1,"FF","00","00","00","00","00","PP","00","00","DD","00","00","00","00",0,"WD","00","00",10,-10,10,-10,15,-15,15,-15,1,1918,11,7,200,1918,11,7,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,"WORLD WAR I (WESTERN FRONT 1918)","HILL 252-PONT MAUGIS","FRANCE","MEUSE-ARGONNE PHASE III","US 16TH INF RGT(-)(+)","COL HARREL","GER 14TH RES DIV(-)","GEN HANSTEIN",1.1,1.1,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,2,"PD","DL",0,0,0,"RM0","000","WLTFT","00000","00000",0,1,"1989",1,"1989",0,"110","1879","1655",1,"1655",0,"182","1473",0,0,0,0,0,-1,0,0,-1,0,0,0,0,24,-1,0,-1,-1,0,0,-1,2,0,1,0,0,1,1,2.9,6,4,1,-1,1,1,0,0,-1,-1,0,0,0,0,0,-1,-1,"FF","00","00","00","00","00","PP","00","00","DD","00","00","00","00",0,"WD","00","00",10,-10,10,-10,15,-15,15,-15,1,1918,11,7,730,1918,11,7,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,"WORLD WAR I","THE PIAVE","AUSTRIA","ITALIAN FRONT 1918","AUS CONRAD & BOROJEVIC GROUPS","ARCHDUKE EUGENE","IT ARMY GROUP","GEN DIEZ",144,144,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"FD","OO",0,0,0,"RM0","000","WHTST","00000","00000",0,-1,"840000",3,"-1",-1,"150000","690000","784000",3,"-1",-1,"69079","714921",0,-1,0,0,7500,-1,0,70,-1,0,-1,0,0,7043,-1,0,-1,-1,0,0,0,0,0,0,-1,0,0,-1,0,4,7,1,0,-1,0,-1,0,-1,-1,0,0,0,0,0,-1,0,"FF","00","00","00","00","00","RR","SS","00","DO","FF","00","00","00",0,"PP","SS","00",0,-38,0,-24,10,-20,22,-10,1,1918,6,15,9999,1918,6,22,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,"WORLD WAR I","MEGIDDO","PALESTINE","PALESTINE 1918","BR 21ST CORPS(+)","GEN ALLENBY","TK 8TH ARMY","GEN LIMAN VON SANDERS",24,24,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"FD","OO",0,0,0,"RB0","000","DSTFT","00000","00000",2,1,"51170",1,"51170",0,"3378","47792","18250",1,"18250",0,"7000","11250",0,0,0,0,384,200,0,-1,-1,0,0,0,0,150,10,0,-1,-1,1,1,1,1,0,0,0,0,1,1,70,9,3,1,1,1,1,1,0,0,0,1,1,2,2,0,-1,0,"FF","00","00","EE","LF","00","BB","PS","00","DD","00","00","00","00",0,"WL","00","00",0,-15,0,-10,25,-25,10,0,1,1918,9,19,9999,1918,9,20,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,"WORLD WAR II (NORTH AFRICA 1942-1943)","ALAM HALFA","EGYPT","NORTH AFRICA 1942","GER & ITAL PZ ARMY AFRICA","GFM ROMMEL","BR 8TH ARMY","LG MONTGOMERY",90,90,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,1,"PD","FD",1,1,0,"FD0","RD0","DSTST","DSTSD","00000",0,-1,"124000",1,"124000",0,"2940","121060","120000",1,"120000",0,"1750","118250",0,515,-1,-1,558,-1,50,15,41,0,450,-1,-1,576,2680,67,0,68,0,0,0,0,-1,0,0,0,1,-1,12,5,7,1,0,-1,0,-1,-1,0,-1,0,-1,0,0,-1,-1,-1,"EE","LR","00","FE","00","00","PP","RR","WD","DO","EE","RR","00","00",0,"SS","00","00",0,-20,10,-10,0,-20,10,-10,6,1942,8,31,130,1942,8,31,830,1942,8,31,1300,1942,8,31,1600,1942,8,31,1745,1942,8,31,1930,1942,9,1,400,1942,9,1,830,1942,9,1,1200,1942,9,1,1700,1942,9,2,500,1942,9,2,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
