isqno,name,war,war2,war3,cdb13_war,cdb13_theater,dbpedia,cow_warno,cow_warname,comment,sidea
77,PLAINS OF ABRAHAM (QUEBEC),THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,Battle_of_the_Plains_of_Abraham,,,,B
78,MAXEN,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,Battle_of_Maxen,,,,B
79,WARBURG,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,Battle_of_Warburg,,,,A
80,LIEGNITZ,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,Battle_of_Liegnitz_(1760),,,,B
81,TORGAU,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,Battle_of_Torgau,,,,A
82,BUNKER HILL,AMERICAN REVOLUTION,AMERICAN REVOLUTION,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,Battle_of_Bunker_Hill,,,,A
83,QUEBEC,AMERICAN REVOLUTION,AMERICAN REVOLUTION,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,Battle_of_Quebec_(1775),,,,B
84,WHITE PLAINS,AMERICAN REVOLUTION,AMERICAN REVOLUTION,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,Battle_of_White_Plains,,,,A
85,TRENTON,AMERICAN REVOLUTION,AMERICAN REVOLUTION,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,Battle_of_Trenton,,,,B
86,PRINCETON,AMERICAN REVOLUTION,AMERICAN REVOLUTION,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,Battle_of_Princeton,,,,B
87,FREEMAN'S FARM,AMERICAN REVOLUTION,AMERICAN REVOLUTION,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,Battles_of_Saratoga,,,,A
88,GERMANTOWN,AMERICAN REVOLUTION,AMERICAN REVOLUTION,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,Battle_of_Germantown,,,,B
89,BEMIS HEIGHTS,AMERICAN REVOLUTION,AMERICAN REVOLUTION,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,Battles_of_Saratoga,,,,A
90,MONMOUTH COURT HOUSE,AMERICAN REVOLUTION,AMERICAN REVOLUTION,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,Battle_of_Monmouth,,,,A
91,CAMDEN,AMERICAN REVOLUTION,AMERICAN REVOLUTION,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,Battle_of_Camden,,,,A
92,COWPENS,AMERICAN REVOLUTION,AMERICAN REVOLUTION,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,Battle_of_Cowpens,,,,A
93,GUILFORD COURT HOUSE,AMERICAN REVOLUTION,AMERICAN REVOLUTION,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,Battle_of_Guilford_Court_House,,,,A
94,HOBKIRK'S HILL,AMERICAN REVOLUTION,AMERICAN REVOLUTION,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,Battle_of_Hobkirk%27s_Hill,,,,A
95,EUTAW SPRINGS,AMERICAN REVOLUTION,AMERICAN REVOLUTION,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,Battle_of_Eutaw_Springs,,,,B
96,VALMY,WAR OF THE FIRST COALITION,WAR OF THE FIRST COALITION,THE NAPOLEONIC WARS,War of the First Coalition of 1792-1797,,Battle_of_Valmy,,,,B
97,JEMAPPES,WAR OF THE FIRST COALITION,WAR OF THE FIRST COALITION,THE NAPOLEONIC WARS,War of the First Coalition of 1792-1797,,Battle_of_Jemappes,,,,A
98,NEERWINDEN,WAR OF THE FIRST COALITION,WAR OF THE FIRST COALITION,THE NAPOLEONIC WARS,War of the First Coalition of 1792-1797,,Battle_of_Neerwinden_(1793),,,,A
99,HONDSCHOOTE,WAR OF THE FIRST COALITION,WAR OF THE FIRST COALITION,THE NAPOLEONIC WARS,War of the First Coalition of 1792-1797,,Battle_of_Hondshoote_(1793),,,,A
100,WATTIGNIES,WAR OF THE FIRST COALITION,WAR OF THE FIRST COALITION,THE NAPOLEONIC WARS,War of the First Coalition of 1792-1797,,Battle_of_Wattignies,,,,A
101,FLEURUS,WAR OF THE FIRST COALITION,WAR OF THE FIRST COALITION,THE NAPOLEONIC WARS,War of the First Coalition of 1792-1797,,Battle_of_Fleurus_(1794),,,,B
102,LODI,WAR OF THE FIRST COALITION,WAR OF THE FIRST COALITION,THE NAPOLEONIC WARS,War of the First Coalition of 1792-1797,,Battle_of_Lodi,,,,A
103,CASTIGLIONE,WAR OF THE FIRST COALITION,WAR OF THE FIRST COALITION,THE NAPOLEONIC WARS,War of the First Coalition of 1792-1797,,Battle_of_Castiglione,,,,A
104,NERESHEIM,WAR OF THE FIRST COALITION,WAR OF THE FIRST COALITION,THE NAPOLEONIC WARS,War of the First Coalition of 1792-1797,,Battle_of_Neresheim,,,,B
105,WUERZBURG,WAR OF THE FIRST COALITION,WAR OF THE FIRST COALITION,THE NAPOLEONIC WARS,War of the First Coalition of 1792-1797,,Battle_of_Würzburg,,,,B
106,ARCOLA,WAR OF THE FIRST COALITION,WAR OF THE FIRST COALITION,THE NAPOLEONIC WARS,War of the First Coalition of 1792-1797,,Battle_of_the_Bridge_of_Arcole,,,,A
107,RIVOLI,WAR OF THE FIRST COALITION,WAR OF THE FIRST COALITION,THE NAPOLEONIC WARS,War of the First Coalition of 1792-1797,,Battle_of_Rivoli,,,,B
108,PYRAMIDS,WAR OF THE FIRST COALITION,WAR OF THE FIRST COALITION,THE NAPOLEONIC WARS,War of the First Coalition of 1792-1797,,Battle_of_the_Pyramids,,,,A
109,STOCKACH I,WAR OF THE SECOND COALITION,WAR OF THE SECOND COALITION,THE NAPOLEONIC WARS,War of the Second Coalition of 1798-1802,,Battle_of_Stockach_(1799),,,,A
110,MOUNT TABOR,WAR OF THE FIRST COALITION,WAR OF THE FIRST COALITION,THE NAPOLEONIC WARS,War of the Second Coalition of 1798-1802,,Battle_of_Mount_Tabor_(1799),,,,B
111,ZURICH I,WAR OF THE SECOND COALITION,WAR OF THE SECOND COALITION,THE NAPOLEONIC WARS,War of the Second Coalition of 1798-1802,,First_Battle_of_Zurich,,,,B
112,NOVI,WAR OF THE SECOND COALITION,WAR OF THE SECOND COALITION,THE NAPOLEONIC WARS,War of the Second Coalition of 1798-1802,,Battle_of_Novi_(1799),,,,B
113,ZURICH III,WAR OF THE SECOND COALITION,WAR OF THE SECOND COALITION,THE NAPOLEONIC WARS,War of the Second Coalition of 1798-1802,,Second_Battle_of_Zurich,,,,A
114,MOESKIRCH,WAR OF THE SECOND COALITION,WAR OF THE SECOND COALITION,THE NAPOLEONIC WARS,War of the Second Coalition of 1798-1802,,Battle_of_Messkirch,,,,A
115,MARENGO,WAR OF THE SECOND COALITION,WAR OF THE SECOND COALITION,THE NAPOLEONIC WARS,War of the Second Coalition of 1798-1802,,Battle_of_Marengo,,,,B
116,HOHENLINDEN,WAR OF THE SECOND COALITION,WAR OF THE SECOND COALITION,THE NAPOLEONIC WARS,War of the Second Coalition of 1798-1802,,Battle_of_Hohenlinden,,,,B
